id;phone;street_address;city;state;zip_code;country;status;modified_date
1;027 4558 8560;compelling;Wylie;Séc Maroc Rubber;31366;Panama;NONE;2021-07-18
2;0240 3515 7469;logistical;Port Nhật Hùngstad;program Frozen Refined;54300;Myanmar;CANCELED;2021-07-18
3;0218 2831 6906;Kids web-readiness;Phùngmouth;portals maximize;19663;Nauru;ACTIVE;2021-07-18
4;020 7851 0200;Bike Incredible Auto;Hồshire;parsing index;28609;Sierra Leone;ACTIVE;2021-07-18
5;020 0305 0915;Industrial;Maimouth;Borders payment;27219;Tchad;CANCELED;2021-07-18
6;0231 5979 0551;groupware RAM Optimization;Quỳnh Lamville;Frozen policy Forint;26554;Bỉ;NONE;2021-07-18
7;0236 5065 0980;Small;Khải Tâmfurt;Albania;29730;Oman;CLOSED;2021-07-19
8;0206 5934 2957;rich;Hạnh Phươngshire;Idaho Assurance networks;13122;Lesotho;ACTIVE;2021-07-18
9;0219 9195 0191;Towels;North Thế Dân;payment turquoise;00124;Qatar;NONE;2021-07-18
10;0286 7438 3271;invoice Account deliverables;Florence-Graham;strategize Shoes Practical;35026;Argentina;CLOSED;2021-07-18
